name,id,episodes,status,aired,studio,source,rating,score,finished airing,year,season
Shuffle!,79,24,Finished Airing,"Jul 8, 2005",Asread,Visual novel,R+ - Mild Nudity,7.11,"Jan 6, 2006",2005,Summer
Mobile Suit Gundam,80,43,Finished Airing,"Apr 7, 1979",Sunrise,Original,PG-13 - Teens 13 or older,7.79,"Jan 26, 1980",1979,Spring
Mobile Suit Gundam: The 08th MS Team,81,12,Finished Airing,"Jan 25, 1996",Sunrise,Original,PG-13 - Teens 13 or older,8.03,"Jul 25, 1999",1996,Winter
Mobile Suit Gundam 0080: War in the Pocket,82,6,Finished Airing,"Mar 25, 1989",Sunrise,Original,PG-13 - Teens 13 or older,7.89,"Aug 25, 1989",1989,Winter
Mobile Suit Gundam: The 08th MS Team - Miller's Report,83,1,Finished Airing,"Aug 1, 1998",Sunrise,Original,PG-13 - Teens 13 or older,6.8,,1998,Summer
Mobile Suit Gundam 0083: Stardust Memory,84,13,Finished Airing,"May 23, 1991",Sunrise,Original,PG-13 - Teens 13 or older,7.3,"Sep 24, 1992",1991,Spring
Mobile Suit Zeta Gundam,85,50,Finished Airing,"Mar 2, 1985",Sunrise,Original,PG-13 - Teens 13 or older,7.92,"Feb 22, 1986",1985,Winter
Mobile Suit Gundam ZZ,86,47,Finished Airing,"Mar 1, 1986",Sunrise,Original,PG-13 - Teens 13 or older,6.67,"Jan 31, 1987",1986,Winter
Mobile Suit Gundam: Char's Counterattack,87,1,Finished Airing,"Mar 12, 1988",Studio Hibari,Novel,PG-13 - Teens 13 or older,7.68,,1988,Winter
Mobile Suit Gundam F91,88,1,Finished Airing,"Mar 16, 1991",Sunrise,Unknown,PG-13 - Teens 13 or older,6.69,,1991,Winter
Mobile Suit Victory Gundam (Mobile Suit V Gundam),89,51,Finished Airing,"Apr 2, 1993",Studio Deen,Original,PG-13 - Teens 13 or older,6.76,"Mar 25, 1994",1993,Spring
Mobile Suit Gundam Wing,90,49,Finished Airing,"Apr 7, 1995",Sunrise,Original,PG-13 - Teens 13 or older,7.73,"Mar 29, 1996",1995,Spring
Mobile Suit Gundam Wing: Endless Waltz,91,3,Finished Airing,"Jan 25, 1997",Sunrise,Original,PG-13 - Teens 13 or older,7.77,"Jul 25, 1997",1997,Winter
After War Gundam X,92,39,Finished Airing,"Apr 5, 1996",Sunrise,Original,PG-13 - Teens 13 or older,7.32,"Dec 28, 1996",1996,Spring
Mobile Suit Gundam SEED,93,50,Finished Airing,"Oct 5, 2002",Sunrise,Original,R - 17+ (violence & profanity),7.8,"Sep 27, 2003",2002,Fall
Mobile Suit Gundam SEED Destiny,94,50,Finished Airing,"Oct 9, 2004",Sunrise,Original,R - 17+ (violence & profanity),7.23,"Oct 1, 2005",2004,Fall
Turn A Gundam (∀ Gundam),95,50,Finished Airing,"Apr 9, 1999",Nakamura Production,Original,PG-13 - Teens 13 or older,7.7,"Apr 14, 2000",1999,Spring
Mobile Fighter G Gundam,96,49,Finished Airing,"Apr 1, 1994",Sunrise,Original,PG-13 - Teens 13 or older,7.56,"Mar 31, 1995",1994,Spring
Last Exile,97,26,Finished Airing,"Apr 8, 2003",Gonzo,Original,PG-13 - Teens 13 or older,7.83,"Sep 30, 2003",2003,Spring
Mai-HiME (My-Hime),98,26,Finished Airing,"Sep 30, 2004",Sunrise,Original,PG-13 - Teens 13 or older,7.47,"Mar 31, 2005",2004,Summer
Mai-Otome (My-Otome),99,26,Finished Airing,"Oct 7, 2005",Sunrise,Original,PG-13 - Teens 13 or older,7.31,"Mar 31, 2006",2005,Fall
Shin Shirayuki-hime Densetsu Prétear,100,13,Finished Airing,"Apr 4, 2001",Hal Film Maker,Manga,PG-13 - Teens 13 or older,7.21,"Jun 27, 2001",2001,Spring
