name,id,episodes,status,aired,studio,source,rating,score,finished airing,year,season 
Bikkuriman: Moen Zone no Himitsu,10200,1,Finished Airing,"Jul 9, 1988",Toei Animation,Unknown,G - All Ages,,,1988,Summer
Senkou no Night Raid: Aruku Hako,10201,1,Finished Airing,"Dec 22, 2010",A-1 Pictures,Original,PG-13 - Teens 13 or older,6.21,,2010,Fall
Kamen Rider Den-O: Imagin Anime 3,10202,12,Finished Airing,"Oct 21, 2010",,Unknown,G - All Ages,6.42,,2010,Fall
Bikkuriman: Daiichiji Seima Taisen,10203,1,Finished Airing,"Mar 12, 1988",Toei Animation,Unknown,None,,,1988,Winter
"Lily to Kaeru to (Otouto) (Lily, Frogs, and Little Brother.)",10207,1,Finished Airing,"Aug 20, 2006",Toei Animation,Original,PG - Children,6.42,,2006,Summer
Kore wa Zombie Desu ka? OVA (Is This a Zombie? OVA),10209,2,Finished Airing,"Jun 10, 2011",Studio Deen,Light novel,PG-13 - Teens 13 or older,7.43,"Apr 24, 2012",2011,Spring
Bug tte Honey,10210,51,Finished Airing,"Oct 3, 1986",,Game,G - All Ages,,"Sep 25, 1987",1986,Fall
Maji de Watashi ni Koi Shinasai! (Majikoi: Oh! Samurai Girls),10213,12,Finished Airing,"Oct 2, 2011",Lerche,Visual novel,PG-13 - Teens 13 or older,6.8,"Dec 18, 2011",2011,Fall
"Yondemasu yo, Azazel-san. (TV) (You're Being Summoned, Azazel)",10216,13,Finished Airing,"Apr 8, 2011",Production I.G,Manga,R - 17+ (violence & profanity),7.55,"Jul 1, 2011",2011,Spring
Kaitou Tenshi Twin Angel: Kyun Kyun☆Tokimeki Paradise!!,10217,12,Finished Airing,"Jul 5, 2011",J.C.Staff,Game,PG-13 - Teens 13 or older,6.05,"Sep 20, 2011",2011,Summer
Berserk: Ougon Jidai-hen I - Haou no Tamago,10218,1,Finished Airing,"Feb 4, 2012",Studio 4°C,Manga,R+ - Mild Nudity,7.77,,2012,Winter
Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!! Special,10219,1,Finished Airing,"Jul 13, 2011",Zexcs,Manga,PG-13 - Teens 13 or older,6.32,,2011,Summer
Uchuu Majin Daikengou,10224,26,Finished Airing,"Jul 27, 1978",Studio Nue,Original,PG-13 - Teens 13 or older,6.08,"Feb 15, 1979",1978,Summer
Tamayura: Hitotose,10232,12,Finished Airing,"Oct 3, 2011",TYO Animations,Original,G - All Ages,7.31,"Dec 19, 2011",2011,Fall
Kagee Grimm Douwa,10236,52,Finished Airing,"1980 to, 1981",,Unknown,G - All Ages,,"1980 to, 1981",1980,
Ki-Fighter Taerang (Ki Fighter),10237,26,Finished Airing,"Aug 21, 2002",,Unknown,PG - Children,,"Mar 19, 2003",2002,Summer
Hybrid Deka,10238,1,Finished Airing,"Jan 22, 2011",,Unknown,G - All Ages,,,2011,Winter
Mayutoro The Toons,10239,33,Finished Airing,"Oct 1, 2003",,Unknown,G - All Ages,,"Mar 1, 2004",2003,Fall
Sekai Monoshiri Ryoko,10241,1006,Finished Airing,"Oct 1, 1971",,Unknown,G - All Ages,5.83,"Dec 31, 1974",1971,Fall
Ton-Ton Atta to Niigata no Mukashibanashi,10242,13,Finished Airing,"Oct 3, 2004",,Unknown,None,,"Dec 26, 2004",2004,Fall
Ultra B: Black Hole kara no Dokusaisha BB!!,10244,1,Finished Airing,"Mar 12, 1988",Shin-Ei Animation,Manga,G - All Ages,,,1988,Winter
Burning Village,10245,10,Finished Airing,"May 1, 1989",,Unknown,None,,"Feb 1, 1990",1989,Spring
Hajimete no Christmas,10246,1,Finished Airing,"Dec 24, 1983",,Unknown,G - All Ages,,,1983,Fall
Jankenman: Kaijuu Dai Kessen,10247,1,Finished Airing,"Jul 23, 1992",,Unknown,G - All Ages,,,1992,Summer
Toaru Majutsu no Index-tan II,10249,2,Finished Airing,"Jan 26, 2011",J.C.Staff,Unknown,PG-13 - Teens 13 or older,6.96,"Jun 22, 2011",2011,Winter
Ultra B,10250,119,Finished Airing,"Apr 5, 1987",Shin-Ei Animation,Manga,G - All Ages,6.08,"Mar 27, 1989",1987,Spring
Shion Special,10256,1,Finished Airing,"Oct 1, 2010",,Visual novel,Rx - Hentai,6.43,,2010,Fall
Pretty Rhythm: Aurora Dream,10257,51,Finished Airing,"Apr 9, 2011",Tatsunoko Production,Game,PG - Children,7.37,"Mar 31, 2012",2011,Spring
Gokicha!! (Cockroach Girls),10258,2,Finished Airing,"Sep 14, 2012",MooGoo,Manga,G - All Ages,5.61,,2012,Summer
Da Yu Hai Tang (Movie) (Big Fish & Begonia),10259,1,Finished Airing,"Jul 8, 2016",B&T,Original,PG-13 - Teens 13 or older,7.59,,2016,Summer
Eiyuu Densetsu: Sora no Kiseki The Animation,10260,2,Finished Airing,"Oct 10, 2011",Kinema Citrus,Game,PG-13 - Teens 13 or older,6.57,"Jan 28, 2012",2011,Fall
Toufu Kozou (Little Ghostly Adventures Of The Tofu Boy),10261,1,Finished Airing,"Apr 29, 2011",,Unknown,None,,,2011,Spring
Gag Manga Biyori: Jump Festa 2002 Special,10262,1,Finished Airing,2002,,Unknown,PG-13 - Teens 13 or older,6.27,,2002,
Sonic X Pilot,10263,2,Finished Airing,"2001 to, 2003",TMS Entertainment,Game,G - All Ages,6.11,"2001 to, 2003",2001,
Gun-dou Musashi Recap (Gun Samurai Recap),10270,1,Finished Airing,"Jun 25, 2006",ACC Production,Original,PG-13 - Teens 13 or older,,,2006,Spring
Gyakkyou Burai Kaiji: Hakairoku-hen (Kaiji: Against All Rules),10271,26,Finished Airing,"Apr 6, 2011",Madhouse,Manga,R - 17+ (violence & profanity),8.25,"Sep 28, 2011",2011,Spring
Tennis no Ouji-sama: Mini Theater,10276,3,Finished Airing,"Dec 22, 2009",,Unknown,PG-13 - Teens 13 or older,6.92,,2009,Fall
The iDOLM@STER,10278,25,Finished Airing,"Jul 8, 2011",A-1 Pictures,Game,PG-13 - Teens 13 or older,7.64,"Dec 23, 2011",2011,Summer
Uchuu Kaizoku Sara Special,10280,1,Finished Airing,"Nov 26, 2010",,Visual novel,Rx - Hentai,6.99,,2010,Fall
Manga Nippon Mukashibanashi,10282,12,Finished Airing,"Jan 7, 1975",,Unknown,G - All Ages,,"Mar 25, 1975",1975,Winter
Manga Nippon Mukashibanashi (Movie),10285,1,Finished Airing,"Mar 13, 1982",,Unknown,G - All Ages,,,1982,Winter
Soukou Kijo Iris Special,10286,1,Finished Airing,"May 21, 2010",,Visual novel,Rx - Hentai,6.19,,2010,Spring
Towa no Quon 1: Utakata no Kaben (Towanoquon: The Ephemeral Petals),10294,1,Finished Airing,"Jun 18, 2011",Bones,Original,PG-13 - Teens 13 or older,7.38,,2011,Spring
Shin Koihime†Musou: Otome Tairan - Gakuensai da yo! Zenin Shuugou no Koto,10297,1,Finished Airing,"Feb 2, 2011",Doga Kobo,Visual novel,R+ - Mild Nudity,6.73,,2011,Winter
Kaichou wa Maid-sama!: Goshujinsama to Asonjao♥,10298,1,Finished Airing,"Jul 24, 2010",J.C.Staff,Manga,PG-13 - Teens 13 or older,7.35,,2010,Summer
Rio: Rainbow Gate! Special,10301,1,Finished Airing,"Oct 19, 2011",Xebec,Unknown,PG-13 - Teens 13 or older,6.12,,2011,Fall
Pocket Monsters: Diamond & Pearl Tokubetsu-hen,10302,2,Finished Airing,"Feb 3, 2011",OLM,Game,PG - Children,6.99,,2011,Winter
Shin Karate Jigoku-hen,10304,2,Finished Airing,"Nov 1, 1990",,Unknown,R+ - Mild Nudity,,"Dec 21, 1990",1990,Fall
Umi Monogatari: Kanon to Iku Amamikoshima,10306,13,Finished Airing,"Oct 28, 2009",Zexcs,Game,PG-13 - Teens 13 or older,6.03,"Mar 26, 2010",2009,Fall
Sengoku Otome: Momoiro Paradox (Battle Girls: Time Paradox),10308,13,Finished Airing,"Apr 5, 2011",TMS Entertainment,Game,R+ - Mild Nudity,6.6,"Jun 28, 2011",2011,Spring
Dallos Special,10313,1,Finished Airing,"May 8, 1985",Studio Pierrot,Original,PG-13 - Teens 13 or older,5.51,,1985,Spring
Chou Dendou Robo Tetsujin 28-gou FX,10319,47,Finished Airing,"Apr 5, 1992",,Unknown,G - All Ages,6.16,"Mar 30, 1993",1992,Spring
Uta no☆Prince-sama♪ Maji Love 1000% (Uta no Prince Sama),10321,13,Finished Airing,"Jul 3, 2011",A-1 Pictures,Visual novel,PG-13 - Teens 13 or older,7.12,"Sep 24, 2011",2011,Summer
Golden★Kids,10323,2,Finished Airing,"Jan 21, 2011",,Unknown,G - All Ages,,,2011,Winter
Tono to Issho: Gantai no Yabou,10324,12,Finished Airing,"Apr 5, 2011",Gathering,4-koma manga,PG-13 - Teens 13 or older,6.47,"Jun 21, 2011",2011,Spring
Kyuuketsuki,10325,2,Finished Airing,"Mar 11, 2011",,Visual novel,Rx - Hentai,5.96,"Dec 21, 2012",2011,Winter
Cosplay Roshutsu Kenkyuukai,10327,2,Finished Airing,"Apr 22, 2011",,Visual novel,Rx - Hentai,6.16,"Jul 22, 2011",2011,Spring
Bakugan Battle Brawlers: Mechtanium Surge,10330,46,Finished Airing,"Feb 13, 2011",TMS Entertainment,Unknown,G - All Ages,6.14,"Jan 26, 2012",2011,Winter
Rurouni Kenshin Recap (Samurai X Recap),10334,1,Finished Airing,Jul,Studio Deen,Manga,PG-13 - Teens 13 or older,7.22,,1997,Summer
Konpeki no Kantai: Sourai Kaihatsu Monogatari,10335,1,Finished Airing,1997,J.C.Staff,Unknown,None,,,1997,
"Last Exile: Ginyoku no Fam (Last Exile: Fam, the Silver Wing)",10336,21,Finished Airing,"Oct 15, 2011",Gonzo,Original,PG-13 - Teens 13 or older,7.1,"Mar 24, 2012",2011,Fall
Honto ni Atta! Reibai Sensei,10338,22,Finished Airing,"Apr 13, 2011",DLE,Manga,PG-13 - Teens 13 or older,6.56,"Sep 14, 2011",2011,Spring
Tetsuwan Atom: Uchuu no Yuusha (Astro Boy: The Brave in Space),10342,1,Finished Airing,"Jul 26, 1964",Mushi Production,Original,G - All Ages,6.28,,1964,Summer
Ring ni Kakero 1: Sekai Taikai-hen,10346,6,Finished Airing,"Apr 10, 2011",Toei Animation,Manga,PG-13 - Teens 13 or older,6.44,"Jun 12, 2011",2011,Spring
Happy Kappy,10347,25,Finished Airing,"Apr 6, 2011",,Unknown,G - All Ages,5.42,"Oct 5, 2011",2011,Spring
Fireball Charming,10348,13,Finished Airing,"Apr 4, 2011",Jinnis Animation Studios,Original,G - All Ages,6.81,"Jun 27, 2011",2011,Spring
Suzy's Zoo: Daisuki! Witzy,10349,25,Finished Airing,"Apr 3, 2011",Digital Media Lab,Other,G - All Ages,6.03,"Oct 4, 2011",2011,Spring
Hakuouki Sekkaroku,10350,6,Finished Airing,"Aug 5, 2011",Studio Deen,Visual novel,PG-13 - Teens 13 or older,7.66,"Jun 27, 2012",2011,Summer
Tenchi Muyou! Ryououki 2nd Season Picture Drama,10351,1,Finished Airing,"Sep 25, 1995",,Original,PG-13 - Teens 13 or older,6.92,,1995,Summer
Okama Hakusho (Okama Report),10353,3,Finished Airing,"Apr 12, 1991",,Manga,None,,"Feb 6, 1992",1991,Spring
Kakomareta Sekai,10354,1,Finished Airing,1998,,Unknown,G - All Ages,5.75,,1998,
Twinkle Heart: Gingakei made Todokanai,10355,1,Finished Airing,"Dec 5, 1986",,Original,PG-13 - Teens 13 or older,5.29,,1986,Fall
Jinrui wa Suitai Shimashita (Humanity Has Declined),10357,12,Finished Airing,"Jul 2, 2012",AIC ASTA,Light novel,PG-13 - Teens 13 or older,7.79,"Sep 17, 2012",2012,Summer
Jewelpet Sunshine,10359,52,Finished Airing,"Apr 9, 2011",Studio Comet,Original,PG - Children,6.54,"Mar 31, 2012",2011,Spring
Kinniku Banzuke: Kongou-kun no Daibouken!,10360,3,Finished Airing,"Jul 30, 2001",Studio Pierrot,Other,PG-13 - Teens 13 or older,5.28,"Aug 30, 2001",2001,Summer
Macross F: Choujikuu Gekijou,10361,1,Finished Airing,"Feb 3, 2011",Satelight,Original,G - All Ages,6.39,,2011,Winter
Teleclub no Himitsu (Secret of Teleclub),10368,2,Finished Airing,"Aug 23, 1991",,Unknown,Rx - Hentai,,"Sep 27, 1991",1991,Summer
Shougeki Shinsengumi,10369,1,Finished Airing,"May 21, 1989",,Unknown,PG-13 - Teens 13 or older,,,1989,Spring
Metal Fight Beyblade 4D (Beyblade: Metal Fury),10370,52,Finished Airing,"Apr 3, 2011",SynergySP,Manga,PG - Children,6.79,"Apr 1, 2012",2011,Spring
Kamisama Dolls,10372,13,Finished Airing,"Jul 6, 2011",Brain's Base,Manga,R - 17+ (violence & profanity),7.04,"Sep 28, 2011",2011,Summer
Soul Link Picture Drama,10373,3,Finished Airing,"Jul 21, 2006",,Visual novel,PG-13 - Teens 13 or older,5.68,"Sep 22, 2006",2006,Summer
Denshinbashira no Okaasan,10375,1,Finished Airing,2005,,Unknown,G - All Ages,5.76,,2005,
Shinryaku!? Ika Musume (The Squid Girl 2),10378,12,Finished Airing,"Sep 27, 2011",Diomedea,Manga,PG-13 - Teens 13 or older,7.53,"Dec 25, 2011",2011,Summer
Natsume Yuujinchou San (Natsume's Book of Friends Season 3),10379,13,Finished Airing,"Jul 5, 2011",Brain's Base,Manga,PG-13 - Teens 13 or older,8.6,"Sep 27, 2011",2011,Summer
Oni Chichi: Re-birth,10380,1,Finished Airing,"Apr 28, 2011",PoRO,Visual novel,Rx - Hentai,7.17,,2011,Spring
Sono Hanabira ni Kuchizuke wo: Reo x Mai Diaries,10384,10,Finished Airing,"Sep 26, 2009",ChuChu,Visual novel,PG-13 - Teens 13 or older,6.56,"Nov 27, 2009",2009,Summer
Momo e no Tegami (A Letter to Momo),10389,1,Finished Airing,"Apr 21, 2012",Production I.G,Original,G - All Ages,7.64,,2012,Spring
.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!,10390,3,Finished Airing,"Jan 28, 2011",Kinema Citrus,Original,PG-13 - Teens 13 or older,6.43,"Apr 7, 2011",2011,Winter
Kuragehime: Soreike! Amars Tankentai,10391,6,Finished Airing,"Aug 12, 2010",Brain's Base,Manga,PG-13 - Teens 13 or older,5.64,"Sep 17, 2010",2010,Summer
Pet Life,10392,1,Finished Airing,"Dec 16, 2011",,Manga,Rx - Hentai,6.33,,2011,Fall
Ben-To,10396,12,Finished Airing,"Oct 9, 2011",David Production,Light novel,PG-13 - Teens 13 or older,7.3,"Dec 25, 2011",2011,Fall
Mashiro-iro Symphony: The Color of Lovers,10397,12,Finished Airing,"Oct 5, 2011",Manglobe,Visual novel,PG-13 - Teens 13 or older,7.13,"Dec 21, 2011",2011,Fall
Xi Avant,10405,1,Finished Airing,"Mar 26, 2011",Production I.G,Unknown,PG-13 - Teens 13 or older,6.26,,2011,Winter
Spelunker Sensei (Spelunker Is a Teacher),10406,1,Finished Airing,"Mar 16, 2011",Studio PuYUKAI,4-koma manga,G - All Ages,5.11,,2011,Winter
Hotarubi no Mori e,10408,1,Finished Airing,"Sep 17, 2011",Brain's Base,Manga,G - All Ages,8.4,,2011,Summer
Kyouhaku: Owaranai Ashita - Special Stage,10409,1,Finished Airing,"Apr 27, 2001",,Visual novel,Rx - Hentai,5.34,,2001,Spring
Gyo (GYO: Tokyo Fish Attack!),10417,1,Finished Airing,"Feb 15, 2012",ufotable,Manga,R+ - Mild Nudity,5.48,,2012,Winter
Deadman Wonderland: Akai Knife Tsukai,10418,1,Finished Airing,"Oct 8, 2011",Manglobe,Manga,R - 17+ (violence & profanity),7.0,,2011,Fall
Menkui!,10419,2,Finished Airing,"May 27, 2011",Office Takeout,Manga,Rx - Hentai,7.13,"Aug 26, 2011",2011,Spring
Gakuen 3,10420,2,Finished Airing,"Mar 18, 2011",,Visual novel,Rx - Hentai,6.51,"Jul 22, 2011",2011,Winter
Bi-chiku Beach: Nangoku Nyuujoku Satsueikai,10421,1,Finished Airing,"May 27, 2011",,Visual novel,Rx - Hentai,6.41,,2011,Spring
Ona x2,10424,1,Finished Airing,"Feb 25, 2011",,Original,Rx - Hentai,5.48,,2011,Winter
Otoko no Ko Ojousama,10429,1,Finished Airing,"Mar 11, 2011",,Original,Rx - Hentai,6.11,,2011,Winter
"Baka to Test to Shoukanjuu: Matsuri - Sentaku ni Yotte Tenkai ga Kawaru ""LIPS Eizou""",10431,1,Finished Airing,"Aug 29, 2010",Silver Link.,Light novel,PG-13 - Teens 13 or older,6.83,,2010,Summer
Boyfriend,10435,1,Finished Airing,"Feb 11, 1992",Magic Bus,Manga,PG-13 - Teens 13 or older,5.74,,1992,Winter
Animal Dance,10436,1,Finished Airing,"Jun 9, 2009",,Original,PG - Children,4.91,,2009,Spring
Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,10444,24,Finished Airing,"Apr 3, 2011",Toei Animation,Original,PG - Children,7.18,"Sep 25, 2011",2011,Spring
Perfect Day,10445,1,Finished Airing,Feb,Madhouse,Unknown,G - All Ages,7.39,,2011,Winter
Aquarion Evol,10447,26,Finished Airing,"Jan 9, 2012",8bit,Original,PG-13 - Teens 13 or older,7.15,"Jun 25, 2012",2012,Winter
Rain Town,10448,1,Finished Airing,"Mar 6, 2011",,Original,G - All Ages,7.21,,2011,Winter
Kyoukaisenjou no Horizon (Horizon in the Middle of Nowhere),10456,13,Finished Airing,"Oct 2, 2011",Sunrise,Light novel,PG-13 - Teens 13 or older,7.11,"Dec 25, 2011",2011,Fall
JK to Inkou Kyoushi 4,10457,2,Finished Airing,"May 27, 2011",PoRO,Visual novel,Rx - Hentai,6.68,"Jan 27, 2012",2011,Spring
Ran-&gt;Sem: Hakudaku Delmo Tsuma no Miira Tori,10458,2,Finished Airing,"May 27, 2011",,Visual novel,Rx - Hentai,6.9,"Jun 24, 2011",2011,Spring
Puu-Neko (Poo-Neko),10459,11,Finished Airing,"Apr 13, 2011",DLE,4-koma manga,G - All Ages,,"Jun 22, 2011",2011,Spring
Kimi to Boku. (You and Me.),10460,13,Finished Airing,"Oct 4, 2011",J.C.Staff,Manga,PG-13 - Teens 13 or older,7.71,"Dec 27, 2011",2011,Fall
Exper Zenon,10463,1,Finished Airing,"Sep 27, 1991",,Unknown,PG-13 - Teens 13 or older,5.59,,1991,Summer
Seitokai no Ichizon Lv.2 (Student Council's Discretion Level 2),10464,10,Finished Airing,"Oct 13, 2012",AIC,Light novel,PG-13 - Teens 13 or older,7.39,"Dec 15, 2012",2012,Fall
Manyuu Hikenchou,10465,12,Finished Airing,"Jul 11, 2011",Hoods Entertainment,Manga,R+ - Mild Nudity,6.23,"Sep 26, 2011",2011,Summer
Phantom Yuusha Densetsu,10466,1,Finished Airing,"Jan 24, 1991",,Unknown,R+ - Mild Nudity,5.41,,1991,Winter
Sayonara Zetsubou Sensei Special,10469,1,Finished Airing,"Jan 31, 2012",Shaft,Manga,R - 17+ (violence & profanity),7.51,,2012,Winter
God Eater Prologue,10470,1,Finished Airing,"Sep 28, 2009",ufotable,Game,R - 17+ (violence & profanity),6.69,,2009,Summer
Ie Naki Ko Remy Specials,10471,3,Finished Airing,Jun,Nippon Animation,Novel,PG - Children,7.56,,1997,Spring
Haiyoru! Nyaruani: Remember My Love(craft-sensei) Special,10477,1,Finished Airing,"Mar 15, 2011",DLE,Unknown,PG-13 - Teens 13 or older,6.2,,2011,Winter
Beelzebub Specials,10479,16,Finished Airing,"Jun 29, 2011",Pierrot Plus,Original,PG-13 - Teens 13 or older,7.37,"Sep 26, 2012",2011,Spring
Otohime Connection (Princess Connection),10481,1,Finished Airing,"Dec 1, 1991",animate Film,Manga,PG-13 - Teens 13 or older,6.21,,1991,Fall
"Sengoku Basara Two: Ryuko, Itadaki no Chikai! Atsuki Mirai e Kakeru Tamashii!!",10483,1,Finished Airing,"Apr 6, 2011",Production I.G,Unknown,PG-13 - Teens 13 or older,7.27,,2011,Spring
Shocking Pink!,10488,2,Finished Airing,"Jun 24, 2011",,Manga,Rx - Hentai,6.87,"Aug 5, 2011",2011,Spring
Blood-C,10490,12,Finished Airing,"Jul 8, 2011",Production I.G,Manga,R - 17+ (violence & profanity),6.57,"Sep 30, 2011",2011,Summer
Higurashi no Naku Koro ni Kira,10491,4,Finished Airing,"Jul 21, 2011",Studio Deen,Original,R - 17+ (violence & profanity),6.54,"Jan 25, 2012",2011,Summer
Yuru Yuri (YuruYuri: Happy Go Lily),10495,12,Finished Airing,"Jul 5, 2011",Doga Kobo,Manga,PG-13 - Teens 13 or older,7.61,"Sep 20, 2011",2011,Summer
Hetalia World Series Specials (Hetalia World Series Extra Episodes),10497,4,Finished Airing,"Mar 25, 2011",Studio Deen,Web manga,PG-13 - Teens 13 or older,7.56,"Sep 24, 2012",2011,Winter
Ojiisan no Lamp,10500,1,Finished Airing,"Mar 5, 2011",Telecom Animation Film,Original,G - All Ages,7.58,,2011,Winter
Bannou Yasai Ninninman,10501,1,Finished Airing,"Mar 5, 2011",P.A. Works,Original,PG - Children,6.01,,2011,Winter
Tansu Warashi.,10502,1,Finished Airing,"Mar 5, 2011",Production I.G,Original,G - All Ages,6.78,,2011,Winter
Gosick: Utsukushiki Kaibutsu wa Konton no Sen wo Shimiru,10504,1,Finished Airing,"Mar 26, 2011",Bones,Light novel,R - 17+ (violence & profanity),7.06,,2011,Winter
Shiawase Haitatsu Taneko,10506,,Currently Airing,"Mar 26, 2011",Kachidoki Studio,Original,None,,"2011 to, ?",2011,Winter
Inazuma Eleven Go,10507,47,Finished Airing,"May 4, 2011",OLM,Game,G - All Ages,7.0,"Apr 11, 2012",2011,Spring
Hoero! Bun Bun (Movie),10509,1,Finished Airing,"Apr 2, 1987",Madhouse,Unknown,G - All Ages,,,1987,Spring
Toyama Kankou Anime Project (Toyama Tourism Anime Project),10511,6,Finished Airing,"Jun 17, 2009",P.A. Works,Original,G - All Ages,5.48,"Jun 25, 2009",2009,Spring
Usavich IV,10513,13,Finished Airing,"Apr 23, 2011",Kanaban Graphics,Original,PG-13 - Teens 13 or older,6.66,"Sep 15, 2011",2011,Spring
Anemone,10516,1,Finished Airing,"Mar 29, 2011",,Unknown,PG-13 - Teens 13 or older,6.48,,2011,Winter
Mahou Shoujo Sonico★Magica (Puella Magi Sonico Magica),10519,1,Finished Airing,"Apr 1, 2011",,Unknown,PG-13 - Teens 13 or older,5.83,,2011,Spring
Working'!! (Wagnaria!!2),10521,13,Finished Airing,"Oct 1, 2011",A-1 Pictures,4-koma manga,PG-13 - Teens 13 or older,7.88,"Dec 24, 2011",2011,Fall
Duel Masters Victory,10524,52,Finished Airing,"Apr 2, 2011",,Original,PG-13 - Teens 13 or older,5.84,"Mar 31, 2012",2011,Spring
Shinseiki Duel Masters Flash,10525,24,Finished Airing,"Apr 10, 2006",SynergySP,Original,G - All Ages,5.9,"Mar 23, 2007",2006,Spring
Duel Masters Zero,10526,24,Finished Airing,"Oct 6, 2007",,Original,G - All Ages,5.99,"Mar 22, 2008",2007,Fall
Duel Masters Cross,10527,100,Finished Airing,"Apr 5, 2008",,Original,PG-13 - Teens 13 or older,6.36,"Mar 27, 2010",2008,Spring
Duel Masters Cross Shock,10528,50,Finished Airing,"Apr 3, 2010",,Original,PG-13 - Teens 13 or older,6.2,"Mar 26, 2011",2010,Spring
Detective Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio,10531,1,Finished Airing,"Apr 16, 2011",TMS Entertainment,Unknown,PG-13 - Teens 13 or older,7.35,,2011,Spring
Working'!! Announcement Specials,10532,2,Finished Airing,"Apr 1, 2011",A-1 Pictures,4-koma manga,G - All Ages,6.78,"Apr 2, 2011",2011,Spring
Fujilog,10533,13,Finished Airing,"Apr 4, 2011",,Unknown,PG-13 - Teens 13 or older,,"Jun 27, 2011",2011,Spring
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,10534,1,Finished Airing,"Mar 5, 2011",Shin-Ei Animation,Unknown,PG - Children,7.87,,2011,Winter
Kimi ni Todoke 2nd Season: Minitodo Gekijou,10536,3,Finished Airing,"Apr 20, 2011",Production I.G,Manga,PG-13 - Teens 13 or older,7.33,"Sep 21, 2011",2011,Spring
Hato no Oyome-san,10539,4,Finished Airing,"Apr 13, 2011",DLE,Unknown,PG-13 - Teens 13 or older,,"Aug 31, 2011",2011,Spring
Genki!! Ekoda-chan,10540,22,Finished Airing,"Apr 13, 2011",DLE,4-koma manga,PG-13 - Teens 13 or older,,"Sep 14, 2011",2011,Spring
Shuukan Shimakou (Weekly Shimako),10541,11,Finished Airing,"Apr 13, 2011",DLE,Unknown,PG-13 - Teens 13 or older,,"Jun 22, 2011",2011,Spring
The Epic Of ZektBach,10545,1,Finished Airing,"Mar 21, 2011",AIC,Music,R - 17+ (violence & profanity),5.87,,2011,Winter
Rinkan Club,10546,4,Finished Airing,"Apr 29, 2011",Seven,Visual novel,Rx - Hentai,6.63,"Jan 31, 2014",2011,Spring
Oretachi ni Tsubasa wa Nai: Hadairo Ritsu Kyuuwari Zou!?,10547,1,Finished Airing,"Jun 24, 2011",Nomad,Visual novel,R+ - Mild Nudity,6.43,,2011,Spring
Precure All Stars GoGo Dream Live!,10549,1,Finished Airing,"Nov 8, 2008",Toei Animation,Original,G - All Ages,6.82,,2008,Fall
Akebi no Hana: Maho,10552,1,Finished Airing,"Apr 15, 2011",,Manga,Rx - Hentai,5.78,,2011,Spring
Betsu ni Anta no Tame ni Ookiku Natta n ja Nai n Dakara ne!!,10553,1,Finished Airing,"Apr 15, 2011",,Original,Rx - Hentai,6.21,,2011,Spring
Yakyuukyou no Uta,10554,25,Finished Airing,"Dec 23, 1977",Nippon Animation,Manga,PG-13 - Teens 13 or older,6.45,"Mar 26, 1979",1977,Fall
Machine Hayabusa,10562,21,Finished Airing,"Apr 2, 1976",Toei Animation,Original,PG-13 - Teens 13 or older,6.17,"Sep 17, 1976",1976,Spring
Yakyuukyou no Uta: Kita no Ookami Minami no Tora,10563,1,Finished Airing,"Sep 15, 1979",Nippon Animation,Manga,PG-13 - Teens 13 or older,,,1979,Summer
Korogashi Ryouta,10564,3,Finished Airing,"Nov 21, 1990",,Unknown,R+ - Mild Nudity,,"Nov 21, 1991",1990,Fall
Kamisama no Memochou (Heaven's Memo Pad),10568,12,Finished Airing,"Jul 2, 2011",J.C.Staff,Light novel,R - 17+ (violence & profanity),7.55,"Sep 24, 2011",2011,Summer
Inshitsu Otaku ni Ikareru Kanojo,10570,3,Finished Airing,"Jun 24, 2011",,Visual novel,Rx - Hentai,6.15,"Nov 18, 2011",2011,Spring
Ro-Kyu-Bu! (Ro-Kyu-Bu ~ Fast Break!),10572,12,Finished Airing,"Jul 1, 2011",Studio Blanc,Light novel,PG-13 - Teens 13 or older,6.86,"Sep 23, 2011",2011,Summer
Tennis no Ouji-sama: Another Story II - Ano Toki no Bokura,10573,4,Finished Airing,"Aug 26, 2011",Production I.G,Manga,PG-13 - Teens 13 or older,7.55,"Oct 26, 2011",2011,Summer
Naisho no Wakana-san,10575,1,Finished Airing,"Dec 6, 2013",,Original,Rx - Hentai,5.96,,2013,Fall
C³ (C³ - CubexCursedxCurious),10578,12,Finished Airing,"Oct 1, 2011",Silver Link.,Light novel,R - 17+ (violence & profanity),6.67,"Dec 17, 2011",2011,Fall
Mobile Suit Gundam 0083: Stardust Memory - The Mayfly of Space,10581,1,Finished Airing,1992,Sunrise,Radio,PG-13 - Teens 13 or older,6.01,,1992,
Astarotte no Omocha! EX (Astarotte's Toy EX),10582,1,Finished Airing,"Sep 7, 2011",Diomedea,Manga,R+ - Mild Nudity,6.67,,2011,Summer
Mononoke Dance,10584,1,Finished Airing,"Apr 2, 2008",,Music,PG-13 - Teens 13 or older,5.13,,2008,Spring
Chuunen Punk,10585,1,Finished Airing,2004,,Unknown,PG-13 - Teens 13 or older,4.66,,2004,
